Id	Length	HS	PT	GG	NL	#1#
ENST00000307340	5130	31,125,469,600,697,817,1357,1956,1969,2061,2115,2316,2715,2723,2841,3133,3303,3366,3571,4322,4370,4450,4461,4546,4637,4700,4793,4821,4932,4981,5085	41,185,547,604,789,917,1608,2205,2226,2266,2283,2380,2381,2421,2960,3118,3387,3461,3625,3764,3909,4811,4826,5014,5017,5092,5121,5125	146,167,228,408,519,585,599,948,1083,1806,2044,2230,2584,2867,3271,3377,3744,4179,4231,4376,4400,4498,4576,4751,4824,4832,4928,4956,4979,5049,5129	23,48,107,120,143,337,362,407,429,523,550,588,616,639,696,717,777,810,851,930,1018,1064,1097,1172,1175,1190,1206,1244,1251,1401,1454,1467,1478,1714,1818,1865,1953,2024,2105,2132,2138,2163,2246,2247,2308,2319,2435,2509,2523,2593,2644,2682,2729,2869,2879,2899,3006,3089,3142,3356,3378,3509,3559,3688,3724,3757,3780,3790,3823,3837,3869,3881,3914,3970,3977,3986,4056,4062,4118,4163,4196,4213,4214,4268,4313,4327,4330,4335,4467,4632,4662,4720,4730,4799,4803,4815,4908,5054,5062,5071,5106,5115	134,238,2056,2135,3667,3714,4092
ENST00000393567	5005	198,560,1085,1141,1441,2012,2203,2358,2368,2372,2415,2483,2517,2607,3203,3228,4185,4247,4296,4436,4691	300,893,1205,1320,1345,1602,1867,2101,2249,2319,2492,2842,3020,3557,3657,3852,4066,4255,4273,4362,4634,4719,4758,4958	320,460,542,790,874,1139,1324,1865,2018,2079,2098,2187,2302,2323,2356,2403,3805,3848,3857,4248,4474,4512,4769	217,244,314,315,321,348,516,520,537,552,620,648,657,670,712,731,745,753,779,789,807,870,875,883,924,936,954,1045,1072,1084,1102,1153,1155,1156,1165,1166,1177,1193,1209,1212,1215,1279,1376,1423,1480,1492,1500,1505,1517,1532,1534,1553,1729,1757,1783,1796,1821,1831,1845,1900,1914,1969,1990,1994,2037,2089,2193,2224,2232,2284,2290,2310,2460,2468,2573,2582,2593,2601,2602,2614,2725,2805,2868,2887,2889,2894,2896,2903,2904,2908,2929,2978,3035,3140,3222,3304,3309,3323,3335,3395,3448,3452,3464,3487,3496,3513,3522,3553,3636,3685,3690,3776,3793,3809,3853,3937,3968,3976,4049,4062,4097,4133,4173,4183,4356,4366,4432,4449,4450,4494,4504,4695,4767,4786,4804,4874,4886,4915,4950	194,527,815,3073,3578
ENST00000264501	4957	171,2284,2363,3882,3950	718,758,1273,1474,3576	649,827,1207,1570,1705,1876,1897,4185,4730	190,695,1138,1256,1271,1603,1692,1707,1746,1777,1778,1871,1872,1920,2118,2357,2375,2439,2442,2444,2446,2448,2449,3362,4124,4289,4315,4840	1684,3468
ENST00000394329	4981	1186,1268,2289,2395,3104,3286,3403,3873,3914,4279	454,941,1169,1180,1250,2143,2786,2801,2892,3055,3408,3720,3954,4118	763,922,1249,1844,1943,2244,2261,2267,2367,2887,3452,3522,3755,4694	10,41,45,98,260,304,567,581,1270,1429,1975,1999,2258,2329,2814,2865,2875,2897,3004,3350,3753,3826,3837,3912,4021,4022,4234,4235,4258,4313,4369,4536	
ENST00000622037	4718	800,1526,2178,2760,2781,2810	2195,2449,3337,3631	15,2516,3849,4182,4188	2,3,163,550,774,794,1679,1681,1867,2095,2315,2783,2828,2984,3301,3710,3755,4026,4031,4056,4078,4148	1388,2704
ENST00000443617	4854	284,1696,2401,2813,3045,3660,3721	1483,2462,2491,2513,3897,4196	1327,1461,1527,3054,3307,3629,3722	1501,1543,1660,1871,2293,2452,2815,2849,3250,3521,3712	2436
ENST00000435803	4882	138,250,554,576,753,768,784,1145,1219,1301,1322,1630,1662,1978,2036,2040,2122,2156,2219,2369,2416,2526,2531,2532,2553,2639,2767,2789,2840,3018,3315,3341,3451,3649,3764,4028,4038,4104,4358,4597	266,271,358,390,409,461,525,676,841,871,888,897,1093,1400,1491,1572,1611,1755,2113,2197,2585,2662,2752,2851,2869,3001,3023,3679,3805,3890,3970,4009,4825	99,136,416,486,656,731,767,812,917,1106,1434,1489,1552,1669,1672,1687,1832,1874,1988,2101,2262,2274,2568,2579,2584,2693,2772,2795,2839,2854,2857,3294,3502,3640,3651,3696,3851,3876,4595,4865	11,18,42,91,118,166,187,194,199,239,256,259,274,303,332,335,354,363,406,428,430,465,485,499,501,530,547,578,608,611,631,652,684,787,815,845,929,941,945,960,988,1015,1055,1118,1133,1157,1198,1207,1221,1223,1244,1249,1310,1318,1329,1335,1365,1367,1398,1482,1557,1590,1602,1613,1633,1642,1650,1670,1685,1704,1730,1746,1762,1776,1783,1840,1892,1923,1980,1987,2032,2055,2078,2110,2121,2165,2204,2208,2211,2234,2250,2267,2281,2290,2311,2398,2443,2487,2498,2527,2580,2588,2640,2673,2898,2902,2903,2905,2915,2946,2950,2965,3019,3031,3065,3066,3071,3079,3089,3146,3319,3349,3350,3359,3361,3372,3401,3408,3475,3487,3499,3547,3605,3760,3783,3934,4035,4090,4106,4109,4128,4190,4208,4209,4214,4449,4487,4599,4776,4777,4786,4872	276,455,705,1169,1778,2041,2535,3010,3490,3885
ENST00000421745	4836	1408,1425,1623,1625,1626,2654,3629,4238,4386	967,1986,2440,4807	1293,4819	29,866,1323,1358,1366,1405,1984,2194,2290,2599,3462,4116,4224,4246,4328,4805,4826	
ENST00000262189	4705	428,464,576,609,1350,1363,1794,1900,2685,2730,2751,2762,2787,2797,2810,2926,3097,3911,4667	375,437,502,683,1630,2314,2488,2818,3370,3452,3583,3757,4046,4053,4480	207,208,233,604,703,764,1256,1345,1634,1812,1855,2121,2245,2375,2376,2400,2441,2678,2686,2933,3246,3492,3498,3544,3559,3922	72,83,156,360,526,529,563,566,577,581,591,610,647,1181,1185,1189,1270,1337,1378,1388,1661,1718,1784,1789,1799,1820,1822,1877,1912,1974,1988,2021,2090,2099,2241,2267,2321,2371,2401,2561,2578,2596,2634,2637,2728,2757,2763,2811,2835,3090,3135,3139,3143,3230,3260,3261,3269,3360,3374,3430,3454,3557,4012,4422	530,2097,2313,2804
ENST00000327475	4500	205,1003,1019,1034,1037,1175,1309,2991,3054,3621,4469	298,837,1272,1461,1642,2643,2674	68,559,1002,1036,1417,1452,2223,2349,2452,2538,3038,3231,3266,3448,3754,3837,4205,4322,4423,4437,4442	5,29,34,41,44,48,81,89,102,116,158,179,237,273,312,314,380,705,785,840,907,949,1023,1084,1087,1129,1220,1502,1546,1605,1831,1925,2163,2164,2245,2456,2587,2794,2804,2825,2875,3472,3588,3670,4010,4478,4484	545,555,3315
ENST00000366574	4472	2968,3769	829,2767,3740,3833	1109	70,422,594,595,640,1420,1499,1981,2005,2446,2931,3836	
ENST00000360184	4646		3939,4360	4602		
ENST00000544440	4606	1972,2628,3101		2793	81,98,529,754,756,760,772,774,775,777,780,2272,2365,2379,2716	4513
ENST00000649046	4592	166,233,581,1014,2459,2842,2909,3197,3531,4064,4524	234,1122,2039,2131,2322,2399,2446,2514,3042,3108,3479,4549	120,308,847,939,2017,2216,2334,3054,3221,3816,4111	5,47,80,151,199,274,276,342,363,540,724,835,895,975,1172,1367,1575,1734,1736,1851,1939,2105,2281,2305,2306,2328,2419,2420,2550,2712,2769,3234,3782,3790,3850,3869,3911,4022,4065,4077,4214,4229,4328,4482,4569	283,834
ENST00000261609	411			126,188,258,274,293		
ENST00000265104	4480	12,24,275,849,1144,1273,2342,3999,4031,4209,4306	478,775,910,1630,1746,2317,2425,2678,3356,3438,4010,4089,4173,4322,4423	2,185,724,814,1015,1166,1404,1738,1938,2333,2999,4124,4211,4219,4326	35,38,96,146,155,196,231,235,330,429,444,601,672,690,701,720,754,755,785,857,861,888,983,1096,1272,1280,1337,1716,1902,2241,2375,2378,2388,2405,2410,2505,2602,2613,2665,2769,2776,2841,2906,2910,2915,2929,2932,2943,2996,3091,3200,3212,3314,3315,3539,3647,3710,3995,4041,4328	
ENST00000389484	4598	304,457,1048,1171,2219,2772,2789,3140,3356,3597,3604,3668,3741	621,1092,3012,3249,3458,3562,3952,4290,4325,4431	91,135,254,1089,1094,1564,2839,2917,2985,3840,4391	128,177,312,366,392,393,406,437,655,828,843,956,1185,1192,1233,1277,1298,1858,1948,1960,2031,2032,2386,2711,2847,2975,2990,3123,3207,3253,3588,3734,3755,3768,3883,3949,4263,4312,4504	147,1141,2514,2759,3559
ENST00000409404	4557	15,356,1726,2739,2755,2773,3063,3812,4026	897,1607,1633,1733,1891,2122,2381,2618,2822,2945,3077,3328,3694	1232,1482,1553,1906,1923,1945,2913,3419,4488	305,317,336,374,433,438,520,546,742,1111,1136,1243,1784,1818,1829,2092,2367,2391,2928,3046,3080,3098,3138,3141,3206,3292,3676,3796,3806,4081,4439	1613,4094
ENST00000243077	3937	90,228,1448,2615,3338,3828	1641,3805		687,1312,1769,1796,1798,1908,1910,1911,1920,2546,2547,3206,3249,3320,3358,3789,3791	
ENST00000624552	4290	958,1440,1457,1503,1555,1615,1668,1750,1933,2060,2079,2300,2489,2578,3352,3476,3510,3832,4220	310,587,694,901,935,1446,1551,1637,1760,1937,1963,2271,2478,3164,3190,3216,3525	33,156,458,615,793,916,1027,1119,1127,1167,1496,1590,1623,1644,1688,1913,2127,2342,2701,2796,3048,3269,3374,3616,3679,3728,3753,3916,4100	19,269,345,475,506,686,700,728,850,867,878,881,937,938,948,952,977,995,1161,1180,1250,1280,1306,1317,1327,1329,1352,1390,1423,1429,1527,1606,1609,1632,1687,1707,1749,1752,1779,1783,1833,1846,1985,2003,2012,2045,2138,2169,2248,2323,2340,2347,2433,2440,2487,2558,2631,2637,2687,2807,2817,2901,2943,2979,3009,3028,3030,3062,3074,3096,3184,3195,3221,3304,3306,3326,3339,3343,3392,3461,3468,3492,3569,3570,3575,3600,3632,3713,3838,3880,3884,3905,3925,4052,4058,4071,4099,4139,4141,4184,4190,4215,4231,4246,4247	2806,3784,4121
ENST00000290607	4564	287,313,528,562,710,999,1246,1427,1488,1773,1841,2374,2524,2553,2621,2626,2786,3032,3199,3477,3759,3791,4240,4324,4402,4429,4551	204,909,973,987,1057,1492,1792,2014,2221,2444,2869,2989,3019,3051,3156,3258,3456,3516,3702,3718,3740,4021,4089,4112,4296,4448	131,201,318,487,502,708,768,801,808,866,964,1023,1129,1130,1161,1228,1268,1290,1352,1415,1557,1690,1698,1959,2034,2057,2148,2378,2464,2467,2586,2629,2639,2655,2785,2857,2860,3008,3121,3131,3234,3265,3293,3301,3344,3364,3479,3500,3644,3692,3694,3787,3814,3863,3883,3890,3943,4018,4350	5,73,161,501,515,517,527,532,548,555,601,634,637,647,656,657,700,728,731,750,766,775,781,784,830,858,859,861,940,1020,1033,1036,1062,1064,1079,1108,1174,1192,1216,1241,1279,1284,1286,1296,1326,1332,1342,1345,1348,1359,1373,1375,1383,1385,1388,1401,1414,1468,1491,1523,1525,1582,1596,1649,1728,1741,1750,1771,1774,1791,1829,1830,1860,1886,1906,1956,1975,2024,2025,2035,2097,2103,2130,2195,2197,2199,2203,2218,2219,2233,2236,2248,2267,2346,2351,2369,2409,2435,2436,2442,2460,2517,2528,2529,2539,2549,2551,2554,2600,2603,2607,2641,2665,2670,2686,2751,2752,2770,2774,2783,2805,2818,2830,2863,2880,2890,2893,2902,2959,2996,3003,3010,3017,3053,3059,3061,3069,3087,3090,3108,3144,3147,3190,3261,3268,3291,3329,3333,3336,3374,3428,3441,3464,3509,3518,3526,3534,3538,3571,3620,3638,3653,3655,3656,3712,3729,3730,3748,3774,3780,3789,3792,3822,3839,3848,3889,3895,3901,3908,3930,3938,3965,3966,3969,3994,4024,4032,4054,4055,4111,4201,4293,4316,4445	488,810,980,1298,1862,2008,2185,2391,2791,2943,3307,3356,3405,3451,3757,3808,3984,4419
ENST00000409039	4468	100,229,287,510,539,790,1111,1216,1690,1826,1924,2195,3060,3064,3098,3769,3773	35,372,778,922,1471,1755,1769,1783,2143,2601,3150,3181,3403,4393	42,62,151,435,1073,1352,1581,1671,1786,2009,2181,2335,2528,2780,2826,3049,3124,3599,3628,3862	63,97,114,158,201,235,242,263,389,480,484,521,536,672,706,709,733,753,783,820,839,864,954,1152,1241,1399,1417,1464,1476,1520,1571,1938,2150,2331,2348,2485,2505,2659,2770,2794,2954,2988,3057,3188,3283,3348,3388,3435,3479,3520,3561,3743,3860,4125,4203,4224,4225,4275,4360,4414	324,882,1377,1759,2133,2777,2880,3246
